Code de la commune,Nom de la commune,Nature de la modification,date d'effet ,Code commune associée,Ancien code de la commune
01003,Amareins,Fusion (commune absorbée),01-01-1974,01165,
01018,Arlod,Fusion (commune absorbée),01-01-1971,01033,
01033,Bellegarde-sur-Valserine,Fusion (commune absorbante),01-01-1971,01018,
01036,Belmont-Luthézieu,Fusion (commune absorbante),01-11-1974,01226,
01048,Bohas,Fusion (commune absorbée),01-01-1974,01245,
01055,Bouvent,Fusion (commune absorbée),01-01-1973,01283,
01070,Cesseins,Fusion (commune absorbée),01-01-1974,01165,
01079,Champagne-en-Valromey,Fusion (commune absorbante),01-01-1973,01217,
01079,Champagne-en-Valromey,Fusion (commune absorbante),01-01-1973,01287,
01086,Charancin,Fusion (commune absorbée),01-01-1974,01414,
01091,Châtillon-en-Michaille,Fusion (commune absorbante),01-11-1973,01278,
01091,Châtillon-en-Michaille,Fusion (commune absorbante),01-11-1973,01458,
01120,Cordieux,Fusion (commune absorbée),01-01-1973,01262,
01131,Craz,Fusion (commune absorbée),01-01-1973,01189,
01137,Cuisiat,Fusion (commune absorbée),01-12-1972,01426,
01161,Fitignieu,Fusion (commune absorbée),01-01-1974,01414,
01165,Amareins-Francheleins-Cesseins,Fusion (commune absorbante),01-01-1974,01003,
01165,Amareins-Francheleins-Cesseins,Fusion (commune absorbante),01-01-1974,01070,
01178,Granges,Fusion (commune absorbée),01-01-1973,01240,
01184,Hautecourt-Romanèche,Fusion (commune absorbante),01-01-1973,01327,
01189,Injoux-Génissiat,Fusion (commune absorbante),01-01-1973,01131,
01217,Lilignod,Fusion (commune absorbée),01-01-1973,01079,
01223,Loyes,Fusion (commune absorbée),01-01-1974,01450,
01226,Luthézieu,Fusion (commune absorbée),01-11-1974,01036,
01240,Matafelon-Granges,Fusion (commune absorbante),01-01-1973,01178,
01245,Bohas-Meyriat-Rignat,Fusion (commune absorbante),01-01-1974,01048,
01245,Bohas-Meyriat-Rignat,Fusion (commune absorbante),01-01-1974,01324,
01251,Moëns,Fusion (commune absorbée),01-01-1975,01313,
01253,Mollon,Fusion (commune absorbée),01-01-1974,01450,
01262,Montluel,Fusion (commune absorbante),01-01-1973,01120,
01267,Nurieux-Volognat,Fusion (commune absorbante),01-03-1973,01455,
01270,Napt,Fusion (commune absorbée),01-01-1974,01410,
01278,Ochiaz,Fusion (commune absorbée),01-11-1973,01091,
01283,Oyonnax,Fusion (commune absorbante),01-01-1973,01055,
01283,Oyonnax,Fusion (commune absorbante),01-01-1973,01440,
01287,Passin,Fusion (commune absorbée),01-01-1973,01079,
01313,Prévessin-Moëns,Fusion (commune absorbante),01-01-1975,01251,
01324,Rignat,Fusion (commune absorbée),01-01-1974,01245,
01327,Romanèche,Fusion (commune absorbée),01-01-1973,01184,
01410,Sonthonnax-la-Montagne,Fusion (commune absorbante),01-01-1974,01270,
01414,Sutrieu,Fusion (commune absorbante),01-01-1974,01086,
01414,Sutrieu,Fusion (commune absorbante),01-01-1974,01161,
01426,Treffort-Cuisiat,Fusion (commune absorbante),01-12-1972,01137,
01440,Veyziat,Fusion (commune absorbée),01-01-1973,01283,
01450,Villieu-Loyes-Mollon,Fusion (commune absorbante),01-01-1974,01223,
01450,Villieu-Loyes-Mollon,Fusion (commune absorbante),01-01-1974,01253,
01455,Volognat,Fusion (commune absorbée),01-03-1973,01267,
01458,Vouvray,Fusion (commune absorbée),01-11-1973,01091,
02008,Aizy-Jouy,Fusion (commune absorbante),25-02-1971,02394,
02022,Arcy-Sainte-Restitue,Fusion (commune absorbante),01-01-1973,02113,
02045,Barbonval,Fusion (commune absorbée),01-01-1971,02439,
02092,Blérancourdelle,Fusion (commune absorbée),01-01-1969,02093,
02093,Blérancourt,Fusion (commune absorbante),01-01-1969,02092,
02113,Branges,Fusion (commune absorbée),01-01-1973,02022,
02140,Camelin,Fusion (commune absorbante),01-07-1971,02436,
02166,Chartèves,Fusion (commune absorbée),01-10-1974,02524,
02166,Chartèves,Rétablissement,01-01-1978,02524,
02202,Cohan,Fusion (commune absorbée),01-01-1971,02220,
02220,Coulonges-Cohan,Fusion (commune absorbante),01-01-1971,02202,
02247,Cugny-lès-Crouttes,Fusion (commune absorbée),31-12-1976,02580,
02285,Escaufourt,Fusion (commune absorbée),01-09-1973,59545,
02300,Fargniers,Fusion (commune absorbée),01-01-1974,02738,
02308,Fesmy-le-Sart,Fusion (commune absorbante),01-05-1972,02700,
